song,variant,wiki_filename,local_file,difficulty,notes,width,height,source_url
A Wandering Melody of Love,1,A Wandering Melody of Love.jpg,alternate_jackets\A Wandering Melody of Love\A Wandering Melody of Love.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a5/A_Wandering_Melody_of_Love.jpg/revision/latest?cb=20230928071441
A Wandering Melody of Love,2,A Wandering Melody of Love-night.jpg,alternate_jackets\A Wandering Melody of Love\A Wandering Melody of Love-night.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/f/fa/A_Wandering_Melody_of_Love-night.jpg/revision/latest?cb=20230928071515
Antithese,1,Antithese.jpg,alternate_jackets\Antithese\Antithese.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/85/Antithese.jpg/revision/latest?cb=20230928050150
Antithese,2,Antithese byd.jpg,alternate_jackets\Antithese\Antithese byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/4/41/Antithese_byd.jpg/revision/latest?cb=20230928050114
Axium Crisis,1,Axium Crisis.jpg,alternate_jackets\Axium Crisis\Axium Crisis.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/0/07/Axium_Crisis.jpg/revision/latest?cb=20230928051656
Axium Crisis,2,Axium byd.jpg,alternate_jackets\Axium Crisis\Axium byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d2/Axium_byd.jpg/revision/latest?cb=20260309013549
Be There,1,Be_There.jpg,alternate_jackets\Be There\Be_There.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/5d/Be_There.jpg/revision/latest?cb=20230928052310
Be There,2,Be there byd.jpg,alternate_jackets\Be There\Be there byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/3/35/Be_there_byd.jpg/revision/latest?cb=20260309005412
Bookmaker (2D Version),1,Bookmaker (2D Version).jpg,alternate_jackets\Bookmaker (2D Version)\Bookmaker (2D Version).jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/2/25/Bookmaker_%282D_Version%29.jpg/revision/latest?cb=20230928053521
Bookmaker (2D Version),2,Bookmaker BYD.jpg,alternate_jackets\Bookmaker (2D Version)\Bookmaker BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/5/56/Bookmaker_BYD.jpg/revision/latest?cb=20230928053633
Cybernecia Catharsis,1,Cybernecia Catharsis.jpg,alternate_jackets\Cybernecia Catharsis\Cybernecia Catharsis.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/61/Cybernecia_Catharsis.jpg/revision/latest?cb=20230928054935
Cybernecia Catharsis,2,Cybernecia byd.jpg,alternate_jackets\Cybernecia Catharsis\Cybernecia byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a0/Cybernecia_byd.jpg/revision/latest?cb=20240125005930
Death By Glamour,1,Deathbyglamour.jpg,alternate_jackets\Death By Glamour\Deathbyglamour.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/b0/Deathbyglamour.jpg/revision/latest?cb=20250309012736
Death By Glamour,2,Deathbyglamour game.jpg,alternate_jackets\Death By Glamour\Deathbyglamour game.jpg,,,384,384,https://static.wikia.nocookie.net/iowiro/images/a/af/Deathbyglamour_game.jpg/revision/latest?cb=20250310082957
Dement ~after legend~,1,Dement ~after legend~.jpg,alternate_jackets\Dement ~after legend~\Dement ~after legend~.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/b/bf/Dement_~after_legend~.jpg/revision/latest?cb=20230928044532
Dement ~after legend~,2,Dement ~after legend~ BYD.jpg,alternate_jackets\Dement ~after legend~\Dement ~after legend~ BYD.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/f/f2/Dement_~after_legend~_BYD.jpg/revision/latest?cb=20230928044626
dropdead,1,Dropdead.jpg,alternate_jackets\dropdead\Dropdead.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a3/Dropdead.jpg/revision/latest?cb=20230928055703
dropdead,2,Overdead.jpg,alternate_jackets\dropdead\Overdead.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/8e/Overdead.jpg/revision/latest?cb=20230928055747
Eccentric Tale,1,Eccentric Tale.jpg,alternate_jackets\Eccentric Tale\Eccentric Tale.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/a/a6/Eccentric_Tale.jpg/revision/latest?cb=20230928055950
Eccentric Tale,2,Eccentric byd.jpg,alternate_jackets\Eccentric Tale\Eccentric byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/8/83/Eccentric_byd.jpg/revision/latest?cb=20260309005334
Einherjar Joker,1,Einherjar_Joker.jpg,alternate_jackets\Einherjar Joker\Einherjar_Joker.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/6/66/Einherjar_Joker.jpg/revision/latest?cb=20230928060042
Einherjar Joker,2,Einherjar byd.jpg,alternate_jackets\Einherjar Joker\Einherjar byd.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/9/98/Einherjar_byd.jpg/revision/latest?cb=20240125005916
Fairytale,1,Fairytale new.jpg,alternate_jackets\Fairytale\Fairytale new.jpg,,,768,768,https://static.wikia.nocookie.net/iowiro/images/d/d9/Fairytale_new.jpg/revision/latest?cb=20230928090636
